Ell with T and measured substrate Opt. Const. of B-Spline vs. nm, n (E with T amd substrate),k (E with T and substrate measured)
1167.547729,1.466287,10.170712
1171.009888,1.469167,10.203348
1174.471924,1.472081,10.236046
1177.93396,1.475027,10.268807
1181.395996,1.478005,10.301631
1184.857788,1.481015,10.334512
1188.31958,1.484056,10.36745
1191.781372,1.487128,10.400442
1195.243042,1.490231,10.433488
1198.704712,1.493363,10.466583
1202.166138,1.496525,10.499721
1205.627563,1.499713,10.532892
1209.088989,1.502928,10.566093
1212.550171,1.506166,10.599312
1216.011353,1.509428,10.632544
1219.472412,1.512711,10.665781
1222.93335,1.516014,10.699018
1226.394287,1.519337,10.732248
1229.855225,1.522678,10.765467
1233.315796,1.526035,10.798664
1236.776489,1.529408,10.83184
1240.236938,1.532795,10.864984
1243.697266,1.536196,10.898092
1247.157593,1.53961,10.931163
1250.617798,1.543034,10.964188
1254.077881,1.546469,10.997164
1257.537842,1.549914,11.030086
1260.997559,1.553367,11.06295
1264.457275,1.556828,11.095753
1267.91687,1.560296,11.128489
1271.376343,1.56377,11.161158
1274.835693,1.56725,11.193752
1278.294922,1.570734,11.226271
1281.754028,1.574221,11.258709
1285.213013,1.577712,11.291065
1288.671753,1.581205,11.323336
1292.130493,1.5847,11.355517
1295.588989,1.588196,11.387609
1299.047363,1.591693,11.419605
1302.505615,1.595189,11.451507
1305.963745,1.598685,11.483309
1309.421753,1.602179,11.515011
1312.879639,1.605672,11.546609
1316.337158,1.609162,11.578103
1319.794678,1.612649,11.609489
1323.252075,1.616133,11.640767
1326.709229,1.619614,11.671935
1330.16626,1.62309,11.702991
1333.623291,1.626561,11.733932
1337.079834,1.630028,11.764759
1340.536377,1.633489,11.795468
1343.99292,1.636944,11.826061
1347.448975,1.640393,11.856533
1350.905029,1.643835,11.886887
1354.360962,1.64727,11.917117
1357.81665,1.650698,11.947226
1361.272095,1.654119,11.97721
1364.727295,1.657531,12.007071
1368.182495,1.660936,12.036806
1371.637451,1.664332,12.066416
1375.092163,1.667719,12.095898
1378.546753,1.671097,12.125254
1382.001221,1.674466,12.15448
1385.455322,1.677826,12.183578
1388.909302,1.681175,12.212546
1392.363037,1.684515,12.241386
1395.81665,1.687845,12.270095
1399.27002,1.691164,12.298674
1402.723145,1.694473,12.327121
1406.176025,1.697771,12.355436
1409.628784,1.701059,12.383621
1413.081299,1.704335,12.411674
1416.533691,1.7076,12.439594
1419.985718,1.710853,12.467382
1423.437622,1.714095,12.495038
1426.889282,1.717326,12.522563
1430.340698,1.720544,12.549953
1433.79187,1.723751,12.577212
1437.24292,1.726945,12.604338
1440.693604,1.730128,12.631332
1444.144165,1.733298,12.658193
1447.594482,1.736456,12.684921
1451.044434,1.739601,12.711516
1454.494263,1.742734,12.73798
1457.943726,1.745854,12.764311
1461.393066,1.748962,12.79051
1464.842163,1.752057,12.816578
1468.291016,1.755139,12.842513
1471.739502,1.758208,12.868318
1475.187866,1.761264,12.893991
1478.635986,1.764307,12.919533
1482.08374,1.767337,12.944943
1485.53125,1.770354,12.970224
1488.978516,1.773357,12.995375
1492.425537,1.776348,13.020395
1495.872314,1.779325,13.045286
1499.318726,1.782289,13.070047
1502.764893,1.785239,13.094681
1506.210938,1.788177,13.119185
1509.656494,1.791101,13.143561
1513.101929,1.794011,13.167809
1516.547119,1.796908,13.191931
1519.991943,1.799792,13.215925
1523.436401,1.802662,13.239793
1526.880615,1.805519,13.263534
1530.324585,1.808362,13.287148
1533.768311,1.811192,13.31064
1537.21167,1.814009,13.334006
1540.654785,1.816812,13.357246
1544.097534,1.819601,13.380363
1547.540039,1.822378,13.403358
1550.982178,1.82514,13.426229
1554.424072,1.82789,13.448978
1557.865723,1.830625,13.471604
1561.307007,1.833348,13.49411
1564.747925,1.836057,13.516494
1568.188721,1.838753,13.538758
1571.629028,1.841435,13.560903
1575.06897,1.844104,13.582926
1578.508667,1.84676,13.604832
1581.947998,1.849402,13.626619
1585.387085,1.852032,13.648289
1588.825928,1.854648,13.669841
1592.264282,1.85725,13.691276
1595.702393,1.85984,13.712595
1599.140137,1.862417,13.733798
1602.577515,1.86498,13.754887
1606.014526,1.86753,13.77586
1609.451294,1.870067,13.796719
1612.887695,1.872591,13.817465
1616.32373,1.875103,13.838098
1619.759521,1.877601,13.858618
1623.194824,1.880086,13.879026
1626.629761,1.882559,13.899323
1630.064453,1.885019,13.91951
