Opt. Const. of ZnO (GenOsc) vs. nm nm,n,k
1416.533691,1.544517,0
1419.985718,1.544488,0
1423.437622,1.54446,0
1426.889282,1.544432,0
1430.340698,1.544404,0
1433.79187,1.544376,0
1437.24292,1.544349,0
1440.693604,1.544321,0
1444.144165,1.544294,0
1447.594482,1.544267,0
1451.044434,1.544241,0
1454.494263,1.544214,0
1457.943726,1.544188,0
1461.393066,1.544162,0
1464.842163,1.544136,0
1468.291016,1.54411,0
1471.739502,1.544084,0
1475.187866,1.544059,0
1478.635986,1.544034,0
1482.08374,1.544009,0
1485.53125,1.543984,0
1488.978516,1.543959,0
1492.425537,1.543935,0
1495.872314,1.543911,0
1499.318726,1.543887,0
1502.764893,1.543863,0
1506.210938,1.543839,0
1509.656494,1.543815,0
1513.101929,1.543792,0
1516.547119,1.543769,0
1519.991943,1.543746,0
1523.436401,1.543723,0
1526.880615,1.5437,0
1530.324585,1.543677,0
1533.768311,1.543655,0
1537.21167,1.543633,0
1540.654785,1.543611,0
1544.097534,1.543589,0
1547.540039,1.543567,0
1550.982178,1.543545,0
1554.424072,1.543524,0
1557.865723,1.543502,0
1561.307007,1.543481,0
1564.747925,1.54346,0
1568.188721,1.543439,0
1571.629028,1.543418,0
1575.06897,1.543398,0
1578.508667,1.543377,0
1581.947998,1.543357,0
1585.387085,1.543337,0
1588.825928,1.543317,0
1592.264282,1.543297,0
1595.702393,1.543277,0
1599.140137,1.543257,0
1602.577515,1.543238,0
1606.014526,1.543218,0
1609.451294,1.543199,0
1612.887695,1.54318,0
1616.32373,1.543161,0
1619.759521,1.543142,0
1623.194824,1.543123,0
1626.629761,1.543104,0
1630.064453,1.543086,0
1633.498779,1.543067,0
1636.932739,1.543049,0
1640.366455,1.543031,0
1643.799561,1.543013,0
1647.232422,1.542995,0
1650.664795,1.542977,0
1654.097046,1.54296,0
1657.528687,1.542942,0
1660.960205,1.542925,0
1664.391235,1.542907,0
1667.821899,1.54289,0
1671.252197,1.542873,0
1674.682007,1.542856,0
1678.111572,1.542839,0
1681.540649,1.542822,0
1684.96936,1.542805,0
1688.397705,1.542789,0
